what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception during blocked modal context.",1602697608498
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1602697618816
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1602697623072
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1602697633623
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1602697635450
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1602697637599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697647687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697718496
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1602697720218
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1602697731389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697755170
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697782998
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1602697783406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697785160
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697788211
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697792670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697830394
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1602697834858
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1602697836904
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697840992
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697912626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697916155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697954584
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602697954745
